127.0.0.1 - - [31/Aug/2023:09:41:19 +0900] "GET / HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:19 +0900] "GET /Board/board_list.jsp HTTP/1.1" 500 2789
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:31 +0900] "GET /Board/board_list.jsp?page=1 HTTP/1.1" 500 2789
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:35 +0900] "GET /index.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:38 +0900] "GET /Board/board_list.do HTTP/1.1" 200 9849
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:38 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:38 +0900] "GET /Board/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:38 +0900] "GET /Board/img/i_prev.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:38 +0900] "GET /Board/img/i_next.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:38 +0900] "GET /Board/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:38 +0900] "GET /Board/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:41:41 +0900] "GET /Board/board_view.do?idx=90&page=1 HTTP/1.1" 500 1337
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:42:11 +0900] "GET /Board/board_list.do HTTP/1.1" 200 9849
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:42:11 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:42:11 +0900] "GET /Board/board_view.do?idx=90&page=1 HTTP/1.1" 500 3095
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:44:01 +0900] "GET /Board/board_list.do HTTP/1.1" 200 9849
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:44:01 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:44:02 +0900] "GET /Board/board_view.do?idx=90&page=1 HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:44:02 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:44:02 +0900] "GET /Board/img/bullet-04.gif HTTP/1.1" 200 59
