127.0.0.1 - - [17/Aug/2023:09:47:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:47:54 +0900] "GET /ExModelJSP/index.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:47:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:47:58 +0900] "GET /ExModelJSP/Member/userinfo_list.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:07 +0900] "GET /ExModelJSP/Board/board_list.jsp HTTP/1.1" 200 8969
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:07 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:07 +0900] "GET /ExModelJSP/Board/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:07 +0900] "GET /ExModelJSP/Board/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:07 +0900] "GET /ExModelJSP/Board/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:08 +0900] "GET /ExModelJSP/Board/board_list.jsp?page=2 HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:09 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:09 +0900] "GET /ExModelJSP/Board/board_list.jsp?page=1 HTTP/1.1" 200 8969
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:48:09 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:54:05 +0900] "GET /ExModelJSP/Board/board_list.jsp?page=1 HTTP/1.1" 200 8948
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:54:05 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:54:05 +0900] "GET /ExModelJSP/Board/img/i_prev.gif HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:54:05 +0900] "GET /ExModelJSP/Board/img/i_next.gif HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:54:08 +0900] "GET /ExModelJSP/Board/board_list.jsp?page=2 HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:54:08 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:54:09 +0900] "GET /ExModelJSP/Board/board_list.jsp?page=1 HTTP/1.1" 200 8948
0:0:0:0:0:0:0:1 - - [17/Aug/2023:09:54:09 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
