127.0.0.1 - - [03/Aug/2023:09:27:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:40 +0900] "GET /ExJsp/Board/board_list.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:40 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:40 +0900] "GET /ExJsp/Board/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:40 +0900] "GET /ExJsp/Board/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:40 +0900] "GET /ExJsp/Board/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:51 +0900] "GET /ExJsp/Board/board_view.jsp?idx=23 HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:51 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:51 +0900] "GET /ExJsp/Board/img/write.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:51 +0900] "GET /ExJsp/Board/img/bullet-04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:51 +0900] "GET /ExJsp/Board/img/reply.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:51 +0900] "GET /ExJsp/Board/img/list-2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:51 +0900] "GET /ExJsp/Board/img/edit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:51 +0900] "GET /ExJsp/Board/img/del.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:54 +0900] "GET /ExJsp/Board/board_delete.jsp?idx=23 HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:54 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:54 +0900] "GET /ExJsp/Board/img/bullet-05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:58 +0900] "POST /ExJsp/Board/board_delete.jsp?idx=23 HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:27:58 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:00 +0900] "POST /ExJsp/Board/board_delete.jsp?idx=23 HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:03 +0900] "POST /ExJsp/Board/board_del_pro.jsp?idx=23 HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:03 +0900] "GET /ExJsp/Board/board_list.jsp HTTP/1.1" 200 3234
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:03 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:04 +0900] "GET /ExJsp/Board/board_write.jsp HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:04 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:04 +0900] "GET /ExJsp/Board/img/bullet-03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:04 +0900] "GET /ExJsp/Board/img/save.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:09:28:04 +0900] "GET /ExJsp/Board/img/cancle.gif HTTP/1.1" 304 -
