127.0.0.1 - - [10/Aug/2023:09:35:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:35:53 +0900] "GET /ExModelJSP/index.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:35:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:35:56 +0900] "GET /ExModelJSP/Member/userinfo_list.jsp HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:45:45 +0900] "GET /ExModelJSP/Member/userinfo_list.jsp HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:46:15 +0900] "GET /ExModelJSP/Member/userinfo_list.jsp HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:46:16 +0900] "GET /ExModelJSP/Member/userinfo_list.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:46:58 +0900] "GET /ExModelJSP/Member/userinfo_list.jsp HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:47:35 +0900] "GET /ExModelJSP/Member/userinfo_list.jsp HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:09 +0900] "GET /ExModelJSP/Member/userinfo_list.jsp HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/userinfo_insert.jsp HTTP/1.1" 200 7891
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/u_b02.gif HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/title1.gif HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/u_b03.gif HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/u_bt01.gif HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/u_bt07.gif HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/u_b04.gif HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/u_b05.gif HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/u_bt06.gif HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:49:10 +0900] "GET /ExModelJSP/Member/img/u_bt05.gif HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/userinfo_insert.jsp HTTP/1.1" 200 8066
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/u_b02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/title1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/u_bt01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/u_b03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/u_b05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/u_b04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/u_bt07.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/u_bt06.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:36 +0900] "GET /ExModelJSP/Member/img/u_bt05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:37 +0900] "GET /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:37 +0900] "GET /ExModelJSP/Member/img/u_bt08.gif HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:51:37 +0900] "GET /ExModelJSP/Member/img/u_bt13.gif HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:53:30 +0900] "GET /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/userinfo_insert.jsp HTTP/1.1" 200 8092
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/u_b02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/title1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/u_b03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/u_bt01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/u_bt06.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/u_b04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/u_bt07.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/u_b05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:19 +0900] "GET /ExModelJSP/Member/img/u_bt05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:20 +0900] "GET /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:20 +0900] "GET /ExModelJSP/Member/img/u_bt08.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:20 +0900] "GET /ExModelJSP/Member/img/u_bt13.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:26 +0900] "POST /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:32 +0900] "GET /ExModelJSP/Member/userinfo_insert.jsp HTTP/1.1" 200 8092
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:57 +0900] "GET /ExModelJSP/Member/userinfo_insert.jsp HTTP/1.1" 200 8092
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:58 +0900] "GET /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:09:59 +0900] "POST /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:12:10 +0900] "GET /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:12:12 +0900] "POST /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:12:26 +0900] "GET /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:12:28 +0900] "POST /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:12:36 +0900] "POST /ExModelJSP/Member/id_check.jsp HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:13:18 +0900] "GET /ExModelJSP/Member/userinfo_insert.jsp HTTP/1.1" 200 8092
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:13:18 +0900] "GET /ExModelJSP/Member/img/u_b02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:10:13:18 +0900] "GET /ExModelJSP/Member/img/title1.gif HTTP/1.1" 304 -
